concert_name,artists,date,time,city,state,price_min,price_max
Lost 80's Live,"[""Lost 80's Live"", 'A Flock of Seagulls', 'The Motels', 'Farrington and Mann', 'The Vapors', 'Dramarama', ""Boys Don't Cry"", 'Real Life', 'Bow Wow Wow']",2019-08-02,19:30:00,Brooklyn,NY,20.0,20.0
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-07-30,19:30:00,New York,NY,63.5,63.5
Barry Manilow,['Barry Manilow'],2019-07-26,20:00:00,New York,NY,99.0,99.0
Rick Springfield,['Rick Springfield'],2019-08-13,18:30:00,Lewiston,NY,N/A,N/A
George Thorogood & The Destroyers,['George Thorogood & The Destroyers'],2019-07-26,20:00:00,Nichols,NY,40.0,40.0
Conor Oberst,['Conor Oberst'],2019-07-20,20:00:00,Woodstock,NY,N/A,N/A
Brett Young,['Brett Young'],2019-08-10,19:00:00,Watertown,NY,N/A,N/A
"Crown The Empire, Attila","['Crown the Empire', 'Attila']",2019-08-10,17:00:00,Poughkeepsie,NY,N/A,N/A
Godsmack,['Godsmack'],2019-07-21,20:00:00,Glens Falls,NY,N/A,N/A
Chase Atlantic,['Chase Atlantic'],2019-07-23,20:00:00,New York,NY,N/A,N/A
Emo Nite La Presents Emo Nite At Webster Hall,['Emo Nite'],2019-07-26,21:00:00,New York,NY,20.0,20.0
Air Supply,['Air Supply'],2019-08-02,20:00:00,Westbury,NY,39.5,39.5
Steve Miller Band,['Steve Miller Band'],2019-07-28,18:30:00,Kingston,NY,56.0,56.0
Gavin DeGraw,['Gavin DeGraw'],2019-08-06,20:00:00,Huntington,NY,24.5,24.5
Lionel Richie,['Lionel Richie'],2019-07-23,20:00:00,Canandaigua,NY,15.0,15.0
Barry Manilow,['Barry Manilow'],2019-07-30,19:00:00,New York,NY,99.0,99.0
Brad Paisley Tour 2019,"['Brad Paisley', 'Chris Lane', 'Riley Green']",2019-07-26,19:30:00,Syracuse,NY,20.0,20.0
Barry Manilow,['Barry Manilow'],2019-07-27,20:00:00,New York,NY,99.0,99.0
I PREVAIL: The Trauma Tour,"['I Prevail', 'ISSUES', 'Justin Stone']",2019-07-23,19:30:00,Huntington,NY,28.0,28.0
Bryce Vine,['Bryce Vine'],2019-08-03,20:00:00,New York,NY,25.0,25.0
